2022/5/23 5:40 UPDATE,,
,,
DATE,TIME,���(��kW)
2022/2/7,17:00,4641
2022/2/7,18:00,4704
2022/2/7,19:00,4611
2022/2/7,20:00,4477
2022/2/7,21:00,4254
2022/2/7,22:00,3976
2022/2/7,23:00,3684
2022/2/8,0:00,3380
2022/2/8,1:00,3223
2022/2/8,2:00,3151
2022/2/8,3:00,3113
2022/2/8,4:00,3147
2022/2/8,5:00,3375
2022/2/8,6:00,3863
2022/2/8,7:00,4386
2022/2/8,8:00,4862
2022/2/8,9:00,5059
2022/2/8,10:00,4903
2022/2/8,11:00,4753
2022/2/8,12:00,4404
2022/2/8,13:00,4385
2022/2/8,14:00,4306
2022/2/8,15:00,4242
2022/2/8,16:00,4355
2022/2/8,17:00,4553
2022/2/8,18:00,4606
2022/2/8,19:00,4496
2022/2/8,20:00,4335
2022/2/8,21:00,4080
2022/2/8,22:00,3811
2022/2/8,23:00,3547
2022/2/9,0:00,3278
2022/2/9,1:00,3152
2022/2/9,2:00,3098
2022/2/9,3:00,3092
2022/2/9,4:00,3142
2022/2/9,5:00,3378
2022/2/9,6:00,3868
2022/2/9,7:00,4257
2022/2/9,8:00,4511
2022/2/9,9:00,4579
2022/2/9,10:00,4438
2022/2/9,11:00,4331
2022/2/9,12:00,4135
2022/2/9,13:00,4142
2022/2/9,14:00,4100
2022/2/9,15:00,4120
2022/2/9,16:00,4249
2022/2/9,17:00,4431
2022/2/9,18:00,4492
2022/2/9,19:00,4406
2022/2/9,20:00,4276
2022/2/9,21:00,4052
2022/2/9,22:00,3803
2022/2/9,23:00,3527
2022/2/10,0:00,3228
2022/2/10,1:00,3069
2022/2/10,2:00,3010
2022/2/10,3:00,2985
2022/2/10,4:00,3031
2022/2/10,5:00,3258
2022/2/10,6:00,3723
2022/2/10,7:00,4244
2022/2/10,8:00,4824
2022/2/10,9:00,5208
2022/2/10,10:00,5278
2022/2/10,11:00,5270
2022/2/10,12:00,5131
2022/2/10,13:00,5212
2022/2/10,14:00,5195
2022/2/10,15:00,5139
2022/2/10,16:00,5163
2022/2/10,17:00,5159
2022/2/10,18:00,5066
2022/2/10,19:00,4901
2022/2/10,20:00,4710
2022/2/10,21:00,4438
2022/2/10,22:00,4143
2022/2/10,23:00,3874
2022/2/11,0:00,3557
2022/2/11,1:00,3394
